trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.6, 'e': 0.18295651830906084}",20,10,14.328737490426647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.18112695312597024}",20,12,14.447073739109666,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.17931568359471053}",25,3,-52.58968776607561,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
172,False,"{'a': 0.6, 'e': 0.17752252675876343}",30,1,8.627939728367396,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.6, 'e': 0.1757473014911758}",25,9,1.7465558531508574,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.173989828476264}",30,0,-33.521683503617346,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
175,False,"{'a': 0.6, 'e': 0.1722499301915014}",25,0,7.313748730822409,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.6, 'e': 0.17052743088958636}",25,0,-17.49466021151328,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
177,False,"{'a': 0.6, 'e': 0.1688221565806905}",20,0,2.286857292027028,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.6, 'e': 0.1671339350148836}",25,16,10.381434436699603,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.16546259566473476}",20,6,21.36481754297767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.16380796970808742}",25,0,-12.28206814608703,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
181,False,"{'a': 0.6, 'e': 0.16216989001100654}",35,6,25.43481081633858,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.16054819111089647}",25,13,18.842584329056088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
